state_id,state_name,mandi_id,mandi_name,first_enam_trade_date,district,state_clean,meta_mandi_id,adopt_period,adopt_year
37,ANDAMAN AND NICOBAR ISLANDS,5038,ANDAMAN HI TECH KISAN MANDI,2023-03-01,South Andaman,Andaman & Nicobar Islands,1.0,24279.0,2023.0
276,ANDHRA PRADESH,314,ANAKAPALLI,2019-07-01,Anakapalle,Andhra Pradesh,2.0,24235.0,2019.0
276,ANDHRA PRADESH,316,ADONI,2018-10-01,Kurnool,Andhra Pradesh,20.0,24226.0,2018.0
276,ANDHRA PRADESH,289,ANANTHAPURAMU,2018-10-01,Ananthapuramu,Andhra Pradesh,3.0,24226.0,2018.0
276,ANDHRA PRADESH,291,DENDULURU,2018-10-01,Eluru,Andhra Pradesh,14.0,24226.0,2018.0
276,ANDHRA PRADESH,792,BOBBILI APMC,2020-04-01,Vizianagaram,Andhra Pradesh,31.0,24244.0,2020.0
276,ANDHRA PRADESH,793,CHILAKALURIPET APMC,2020-04-01,Palnadu,Andhra Pradesh,25.0,24244.0,2020.0
276,ANDHRA PRADESH,312,DUGGIRALA,2018-10-01,Guntur,Andhra Pradesh,16.0,24226.0,2018.0
276,ANDHRA PRADESH,282,GOPALAPURAM,2018-10-01,West Godavari,Andhra Pradesh,33.0,24226.0,2018.0
276,ANDHRA PRADESH,311,ELURU,2019-06-01,Eluru,Andhra Pradesh,15.0,24234.0,2019.0
276,ANDHRA PRADESH,293,GURRAMKONDA,2018-10-01,Annamayya,Andhra Pradesh,6.0,24226.0,2018.0
276,ANDHRA PRADESH,313,GUNTUR,2018-10-01,Guntur,Andhra Pradesh,17.0,24226.0,2018.0
276,ANDHRA PRADESH,318,HINDUPUR,2018-10-01,Sri Satyasai ,Andhra Pradesh,29.0,24226.0,2018.0
276,ANDHRA PRADESH,794,ICHAPURAM APMC,2020-04-01,Srikakulam,Andhra Pradesh,30.0,24244.0,2020.0
276,ANDHRA PRADESH,292,KALIKIRI,2018-10-01,Annamayya,Andhra Pradesh,7.0,24226.0,2018.0
276,ANDHRA PRADESH,795,JAGGAYYAPET APMC,2020-04-01,NTR,Andhra Pradesh,24.0,24244.0,2020.0
276,ANDHRA PRADESH,320,KADAPA,2018-10-01,YSR Kadapa,Andhra Pradesh,34.0,24226.0,2018.0
276,ANDHRA PRADESH,319,Kalyandurg,2019-02-01,Ananthapuramu,Andhra Pradesh,4.0,24230.0,2019.0
276,ANDHRA PRADESH,288,MADANAPALLE,2018-10-01,Annamayya,Andhra Pradesh,8.0,24226.0,2018.0
276,ANDHRA PRADESH,315,KURNOOL,2018-10-01,Kurnool,Andhra Pradesh,21.0,24226.0,2018.0
276,ANDHRA PRADESH,290,PALAMANER,2018-10-01,Chittoor,Andhra Pradesh,11.0,24226.0,2018.0
276,ANDHRA PRADESH,287,PATTIKONDA,2018-10-01,Kurnool,Andhra Pradesh,22.0,24226.0,2018.0
276,ANDHRA PRADESH,286,PUNGANUR,2018-10-01,Chittoor,Andhra Pradesh,12.0,24226.0,2018.0
276,ANDHRA PRADESH,796,PARCHUR APMC,2020-04-01,Bapatla,Andhra Pradesh,9.0,24244.0,2020.0
276,ANDHRA PRADESH,284,PIDUGURALLA,2018-10-01,Palnadu,Andhra Pradesh,26.0,24226.0,2018.0
276,ANDHRA PRADESH,285,RAPUR,2018-10-01,SPSR Nellore,Andhra Pradesh,28.0,24226.0,2018.0
276,ANDHRA PRADESH,1200,RAVULAPALEM APMC,2020-04-01,Dr BR Ambedkar Konaseema ,Andhra Pradesh,13.0,24244.0,2020.0
276,ANDHRA PRADESH,798,RAYADURG APMC,2020-04-01,Ananthapuramu,Andhra Pradesh,5.0,24244.0,2020.0
276,ANDHRA PRADESH,800,TADIKONDA APMC,2020-04-01,Guntur,Andhra Pradesh,18.0,24244.0,2020.0
276,ANDHRA PRADESH,799,SATTENAPALLE APMC,2020-04-01,Palnadu,Andhra Pradesh,27.0,24244.0,2020.0
276,ANDHRA PRADESH,283,TENALI,2019-07-01,Guntur,Andhra Pradesh,19.0,24235.0,2019.0
276,ANDHRA PRADESH,801,VIZIANAGARAM APMC,2020-04-01,Vizianagaram,Andhra Pradesh,32.0,24244.0,2020.0
276,ANDHRA PRADESH,317,YEMMIGANUR,2018-10-01,Kurnool,Andhra Pradesh,23.0,24226.0,2018.0
276,ANDHRA PRADESH,784,VEMURU BHATTIPROLU,2020-06-01,Bapatla,Andhra Pradesh,10.0,24246.0,2020.0
38,ASSAM,5039,DHING,2023-03-01,Nagaon,Assam,37.0,24279.0,2023.0
38,ASSAM,5041,KHARUPETIA,2023-03-01,Darrang,Assam,35.0,24279.0,2023.0
38,ASSAM,5040,GAURIPUR,2023-03-01,Dhubri,Assam,36.0,24279.0,2023.0
33,BIHAR,4036,ARA,2022-07-01,Bhojpur,Bihar,41.0,24271.0,2022.0
33,BIHAR,4037,BEGUSARAI,2022-07-01,Begusarai,Bihar,40.0,24271.0,2022.0
33,BIHAR,4039,BUXAR,2022-07-01,Buxar,Bihar,42.0,24271.0,2022.0
33,BIHAR,4052,CHHAPRA,2022-07-01,Saran,Bihar,55.0,24271.0,2022.0
33,BIHAR,4038,BIHARSHARIF,2022-07-01,Nalanda,Bihar,50.0,24271.0,2022.0
33,BIHAR,4040,DARBHANGA,2022-07-01,Darbhanga,Bihar,43.0,24271.0,2022.0
33,BIHAR,4041,DAUDNAGAR,2022-07-01,Aurangabad,Bihar,39.0,24271.0,2022.0
33,BIHAR,4042,FORBESGANJ,2022-07-01,Araria,Bihar,38.0,24271.0,2022.0
33,BIHAR,4043,GAYA,2022-07-01,Gaya,Bihar,45.0,24271.0,2022.0
33,BIHAR,4044,GULABBAGH,2022-07-01,Purnia,Bihar,52.0,24271.0,2022.0
33,BIHAR,4045,HAJIPUR,2022-07-01,Vaishali,Bihar,57.0,24271.0,2022.0
33,BIHAR,4046,KATIHAR,2022-07-01,Katihar,Bihar,47.0,24271.0,2022.0
33,BIHAR,4047,MOHANIYA,2022-07-01,Kaimur,Bihar,46.0,24271.0,2022.0
